fips,pollutant,year,pred_wght,state_abbr,lat,lon
35007,pm25,2015,3.74240499709091,NM,36.7026184654545,-104.642982909091
35009,pm25,2015,6.74856159169836,NM,34.4200996382504,-103.215700864065
35011,pm25,2015,4.89999337784372,NM,34.465456132542,-104.257864985163
35013,pm25,2015,4.53422381321302,NM,32.2472941792165,-106.728876319701
35015,pm25,2015,6.47210163313456,NM,32.5476024373479,-104.291600326961
35017,pm25,2015,3.14185707901335,NM,32.7804536897743,-108.242709663211
35019,pm25,2015,4.63854664817581,NM,34.9300409003627,-104.792482611479
35021,pm25,2015,3.85227768345324,NM,35.8610223021583,-103.984870503597
35023,pm25,2015,3.46184760114426,NM,32.2756281160605,-108.766714548427
35025,pm25,2015,7.18820083272823,NM,32.7531184328024,-103.193816815239
35027,pm25,2015,3.84976614821681,NM,33.4209642972142,-105.631161779773
35028,pm25,2015,3.05816185961003,NM,35.8687632479109,-106.270315710306
35029,pm25,2015,4.02741012671847,NM,32.2174871488344,-107.740457302251
35031,pm25,2015,3.00947341912382,NM,35.5115021890561,-108.634022855704
35033,pm25,2015,3.28537574062692,NM,35.9992825650481,-105.241074984634
35035,pm25,2015,4.18137879821935,NM,32.8066413028826,-105.98930706773
35037,pm25,2015,5.11043737860856,NM,35.1806262028537,-103.656005309147
35039,pm25,2015,3.04422177930726,NM,36.2010016846395,-106.20585481787
35041,pm25,2015,6.70953831804898,NM,34.1675495717021,-103.348226897108
35043,pm25,2015,3.49060113787521,NM,35.328606869817,-106.649358708128
35045,pm25,2015,3.36027008520193,NM,36.7219399410969,-108.220520508443
35047,pm25,2015,3.87013352975198,NM,35.5732960024496,-105.30964719491
35049,pm25,2015,3.53077170382188,NM,35.6308052646182,-106.004873142818
35051,pm25,2015,3.26799706539873,NM,33.1092749916583,-107.277827160494
35053,pm25,2015,3.58540231781037,NM,34.1538294917721,-106.957846692041
35055,pm25,2015,2.9137571940371,NM,36.4334490724717,-105.609336946291
35057,pm25,2015,3.83706782823659,NM,34.8671258255509,-106.100939998779
35059,pm25,2015,4.96344738843702,NM,36.4555794899978,-103.262410419872
35061,pm25,2015,4.01254758191958,NM,34.7521491752537,-106.722534720318
32001,pm25,2015,4.95392241548418,NV,39.4735831571331,-118.795658720907
32003,pm25,2015,6.30364284564558,NV,36.143366021138,-115.149914619153
32005,pm25,2015,4.59798551652233,NV,38.9569123071685,-119.755979041215
32007,pm25,2015,4.05312615776968,NV,40.8709069625958,-115.518458130198
32009,pm25,2015,3.56434521072797,NV,37.7088056194125,-117.67775862069
32011,pm25,2015,3.28607392551585,NV,39.8668965274283,-116.149093105184
32013,pm25,2015,4.88951577262827,NV,41.0341768998064,-117.745154949177
32015,pm25,2015,4.255075804329,NV,40.5209063896104,-116.942925367965
32017,pm25,2015,3.51155795135641,NV,37.6903014405987,-114.643639663237
32019,pm25,2015,4.22118770507888,NV,39.3487796825702,-119.325025067334
32021,pm25,2015,4.26194601634535,NV,38.5900402766136,-118.638884534786
32023,pm25,2015,4.84730718154098,NV,36.468655697902,-116.169189550812
32027,pm25,2015,4.83318909965941,NV,40.3434522582556,-118.2935875907
